date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:40	229010/229010	---MCZ	200	added ('OK')	text/html	etag:W/%226100fa57-37e92%22	https://htmldemo.net/autima/autima/index.html	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/index.html	(from )
10:57:41	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Jan%202023%2003:57:41%20GMT	https://htmldemo.net/robots.txt		(from )
10:57:41	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22618ebff0-47e%22	https://htmldemo.net/autima/autima/assets/img/favicon.ico	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/img/favicon.ico	(from https://htmldemo.net/autima/autima/index.html)
10:57:42	155845/155845	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa7f-260c5%22	https://htmldemo.net/autima/autima/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/bootstrap.min.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:42	3405/3405	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa80-d4d%22	https://htmldemo.net/autima/autima/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/owl.carousel.min.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:44	1556/1556	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa81-614%22	https://htmldemo.net/autima/autima/assets/css/slick.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/slick.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:44	5666/5666	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa7e-1622%22	https://htmldemo.net/autima/autima/assets/css/magnific-popup.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/magnific-popup.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:45	30896/30896	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa80-78b0%22	https://htmldemo.net/autima/autima/assets/css/font.awesome.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/font.awesome.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:45	51315/51315	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa7f-c873%22	https://htmldemo.net/autima/autima/assets/css/ionicons.min.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/ionicons.min.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:46	75626/75626	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa81-1276a%22	https://htmldemo.net/autima/autima/assets/css/animate.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/animate.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:46	21334/21334	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa7f-5356%22	https://htmldemo.net/autima/autima/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/jquery-ui.min.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:46	2565/2565	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa80-a05%22	https://htmldemo.net/autima/autima/assets/css/slinky.menu.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/slinky.menu.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:47	19530/19530	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa80-4c4a%22	https://htmldemo.net/autima/autima/assets/css/plugins.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/plugins.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:47	8599/8599	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261977480-2197%22	https://htmldemo.net/autima/autima/assets/js/vendor/modernizr-3.7.1.min.js	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/js/vendor/modernizr-3.7.1.min.js	(from https://htmldemo.net/autima/autima/index.html)
10:57:47	50567/50567	---MCZ	200	added ('OK')	text/html	etag:W/%226100fa53-c587%22	https://htmldemo.net/autima/autima/checkout.html	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/checkout.html	(from https://htmldemo.net/autima/autima/index.html)
10:57:47	43582/43582	---MCZ	200	added ('OK')	text/html	etag:W/%226100fa57-aa3e%22	https://htmldemo.net/autima/autima/my-account.html	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/my-account.html	(from https://htmldemo.net/autima/autima/index.html)
10:57:47	209131/209131	---MCZ	200	added ('OK')	text/css	etag:W/%226100fa81-330eb%22	https://htmldemo.net/autima/autima/assets/css/style.css	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/css/style.css	(from https://htmldemo.net/autima/autima/index.html)
10:57:48	39681/39681	---MCZ	200	added ('OK')	text/html	etag:W/%226100fa53-9b01%22	https://htmldemo.net/autima/autima/cart.html	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/cart.html	(from https://htmldemo.net/autima/autima/index.html)
10:57:48	37867/37867	---MCZ	200	added ('OK')	text/html	etag:W/%226100fa5a-93eb%22	https://htmldemo.net/autima/autima/wishlist.html	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/wishlist.html	(from https://htmldemo.net/autima/autima/index.html)
10:57:48	756/756	---MC-	200	added ('OK')	image/png	date:Mon,%2002%20Jan%202023%2003:57:48%20GMT	https://htmldemo.net/autima/autima/assets/img/logo/language.png	C:/My%20Web%20Sites/loixoann/htmldemo.net/autima/autima/assets/img/logo/language.png	(from https://htmldemo.net/autima/autima/index.html)
